"UpArrowDownArrow","",740,"{}","{""⇅""}","{}","{{""x"", ""⇅"", ""y""}}","Row[{""UpArrowDownArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","UpArrowDownArrow[x, y]"
"UpDownArrow","",740,"{}","{""↕""}","{}","{{""x"", ""↕"", ""y""}}","Row[{""UpDownArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","UpDownArrow[x, y]"
"UpEquilibrium","",740,"{}","{""⥮""}","{}","{{""x"", ""⥮"", ""y""}}","Row[{""UpEquilibrium"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","UpEquilibrium[x, y]"
"UpTeeArrow","",740,"{}","{""↥""}","{}","{{""x"", ""↥"", ""y""}}","Row[{""UpTeeArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","UpTeeArrow[x, y]"
"Sqrt","",730,"{""√""}","{}","{}","{{""√"", ""expr""}}","Row[{""Sqrt"", ""["", ""expr"", ""]""}]","Unary","Prefix","Right","Sqrt[expr]"
"RadicalBox","",730,"{""\@""}","{}","{""\%""}","{{""\@"", ""expr1"", ""\%"", ""expr2""}}","Row[{""RadicalBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Prefix","Right",""
"SqrtBox","",730,"{""\@""}","{}","{}","{{""\@"", ""expr""}}","Row[{""SqrtBox"", ""["", ""expr"", ""]""}]","Unary","Prefix","Right",""
"CapitalDifferentialD","",720,"{""""}","{}","{}","{{"""", ""x""}}","Row[{""CapitalDifferentialD"", ""["", ""x"", ""]""}]","Unary","Prefix","Right","CapitalDifferentialD[x]"
"DifferentialD","",720,"{""""}","{}","{}","{{"""", ""x""}}","Row[{""DifferentialD"", ""["", ""x"", ""]""}]","Unary","Prefix","Right","DifferentialD[x]"
"DifferenceDelta","",710,"{""""}","{}","{}","{{"""", ""expr""}}","Row[{""DifferenceDelta"", ""["", ""expr"", ""]""}]","Unary","Prefix","Right",""
"DiscreteRatio","",710,"{""""}","{}","{}","{{"""", ""expr""}}","Row[{""DiscreteRatio"", ""["", ""expr"", ""]""}]","Unary","Prefix","Right",""
"DiscreteShift","",710,"{""""}","{}","{}","{{"""", ""expr""}}","Row[{""DiscreteShift"", ""["", ""expr"", ""]""}]","Unary","Prefix","Right",""
"Laplacian","",710,"{""∆""}","{}","{}","{{""∆"", ""expr""}}","Row[{""Laplacian"", ""["", ""expr"", ""]""}]","Unary","Prefix","Right",""
"PartialD","",710,"{""∂""}","{}","{}","{{""∂"", ""expr""}}","Row[{""PartialD"", ""["", ""expr"", ""]""}]","Unary","Prefix","Right",""
