Unofficial Name,Name,Parser Exception,NewPrec,RightPrec,Me,"Precedence Rank (WLD, corrected)","Precedence (UnicodeCharacters.tr, corrected)",Usage,Parse,Arity,Affix,Associativity,Usage String,FullForm,Meaningful,Comments
DoubleUpDownArrow,DoubleUpDownArrow,,740,580,,21.5,650,"{{Row[{""x"", ""⇕"", ""y""}]}}","Row[{""DoubleUpDownArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇕y,"DoubleUpDownArrow[x, y]",False,
DownArrow,DownArrow,,740,580,,21.5,650,"{{Row[{""x"", ""↓"", ""y""}]}}","Row[{""DownArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↓y,"DownArrow[x, y]",False,
DownArrowBar,DownArrowBar,,740,580,,21.5,650,"{{Row[{""x"", ""⤓"", ""y""}]}}","Row[{""DownArrowBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⤓y,"DownArrowBar[x, y]",False,
DownArrowUpArrow,DownArrowUpArrow,,740,580,,21.5,650,"{{Row[{""x"", ""⇵"", ""y""}]}}","Row[{""DownArrowUpArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇵y,"DownArrowUpArrow[x, y]",False,
DownTeeArrow,DownTeeArrow,,740,580,,21.5,650,"{{Row[{""x"", ""↧"", ""y""}]}}","Row[{""DownTeeArrow"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x↧y,"DownTeeArrow[x, y]",False,
LeftDownTeeVector,LeftDownTeeVector,,740,580,,21.5,650,"{{Row[{""x"", ""⥡"", ""y""}]}}","Row[{""LeftDownTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥡y,"LeftDownTeeVector[x, y]",False,
LeftDownVector,LeftDownVector,,740,580,,21.5,650,"{{Row[{""x"", ""⇃"", ""y""}]}}","Row[{""LeftDownVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⇃y,"LeftDownVector[x, y]",False,
LeftDownVectorBar,LeftDownVectorBar,,740,580,,21.5,650,"{{Row[{""x"", ""⥙"", ""y""}]}}","Row[{""LeftDownVectorBar"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥙y,"LeftDownVectorBar[x, y]",False,
LeftUpDownVector,LeftUpDownVector,,740,580,,21.5,650,"{{Row[{""x"", ""⥑"", ""y""}]}}","Row[{""LeftUpDownVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥑y,"LeftUpDownVector[x, y]",False,
LeftUpTeeVector,LeftUpTeeVector,,740,580,,21.5,650,"{{Row[{""x"", ""⥠"", ""y""}]}}","Row[{""LeftUpTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]",Binary,Infix,None,x⥠y,"LeftUpTeeVector[x, y]",False,
