"","DifferentialD","","($dd$   $&dd;$)","Prefix",630,"None","","0xF74C",63308,""
"","CapitalDifferentialD","","($DD$   $&CapitalDifferentialD;$)","Prefix",630,"None","","0xF74B",63307,""
"","Gradient","","($cgrad$)","Prefix",615,"Right","","0xF3D6",62422,""
"→","RightArrow","RIGHTWARDS ARROW","($ ->$   $&RightArrow;$   $\rightarrow$   $\to$)","Infix",380,"None","","0x2192",8594,""
"←","LeftArrow","LEFTWARDS ARROW","($<-$   $&LeftArrow;$   $\leftarrow$   $\gets$)","Infix",380,"None","","0x2190",8592,""
"↑","UpArrow","UPWARDS ARROW","($&UpArrow;$   $\uparrow$)","Infix",650,"None","","0x2191",8593,""
"↓","DownArrow","DOWNWARDS ARROW","($&DownArrow;$   $\downarrow$)","Infix",650,"None","","0x2193",8595,""
"↔","LeftRightArrow","LEFT RIGHT ARROW","($<->$   $&LeftRightArrow;$   $\leftrightarrow$)","Infix",380,"None","","0x2194",8596,""
"↕","UpDownArrow","UP DOWN ARROW","($&UpDownArrow;$   $\updownarrow$)","Infix",650,"None","","0x2195",8597,""
"","ShortRightArrow","","($&ShortRightArrow;$)","Infix",380,"None","","0xF525",62757,""
"","ShortLeftArrow","","($&ShortLeftArrow;$)","Infix",380,"None","","0xF526",62758,""
"","ShortUpArrow","","($&ShortUpArrow;$)","Infix",650,"None","","0xF52A",62762,""
"","ShortDownArrow","","($&ShortDownArrow;$)","Infix",650,"None","","0xF52B",62763,""
"","InlinePart","","($@>$)","Infix",763,"None","","0xF51E",62750,""
"","RuleDelayed","","($:>$   $&RuleDelayed;$)","Infix",250,"Right","","0xF51F",62751,""
"","Rule","","($->$)","Infix",250,"Right","","0xF522",62754,""
"⇒","DoubleRightArrow","RIGHTWARDS DOUBLE ARROW","($ =>$   $&DoubleRightArrow;$   $\Rightarrow$)","Infix",380,"None","","0x21D2",8658,""
"⇐","DoubleLeftArrow","LEFTWARDS DOUBLE ARROW","($ <=$   $&DoubleLeftArrow;$   $\Leftarrow$)","Infix",380,"None","","0x21D0",8656,""
"⇑","DoubleUpArrow","UPWARDS DOUBLE ARROW","($&DoubleUpArrow;$   $\Uparrow$)","Infix",650,"None","","0x21D1",8657,""
"⇓","DoubleDownArrow","DOWNWARDS DOUBLE ARROW","($&DoubleDownArrow;$   $\Downarrow$)","Infix",650,"None","","0x21D3",8659,""
